id,name,cleaned
ccf11caf3460f88baa00fe289fb2cb32f139e238119c0909f826e980d66c67b6,aerocool astro 12,aerocool astro 12
411a9c9d8e4a21fe2115ddeade1912b84b2c76c223536a3dfb18e2bcb6495769,aerocool cosmo 12,aerocool cosmo 12
468d5104cac1f757d19c4ea8b793ee5502417b45bbeb453ff9b73f355ad307d9,aerocool cosmo 12,aerocool cosmo 12
e19a08e5eeb5cbd9bf82fe170ec3a30d171c9bc1f8882ab030941dd33d40017c,aerocool eclipse 12,aerocool eclipse 12
f7bd3e48cc1c3e10e50240c96d594bb91f4b6efd14e2e7daca78a568c155bf72,aerocool kcas 750g,aerocool kcas 750g
8473d53ab20e3e43db1d3c4641aee33ff0f53199bfb7a9aac9becfaeb31bf7c4,aerocool kcas 850g,aerocool kcas 850g
2ff15fcd98f39a1d4793dc4ce2cf9be578b1b166c9b6471a41e1dc2503e5207c,aerocool kcas 850g,aerocool kcas 850g
7eeea1b68e27c6385397d472d02b45c6c140da3dbf80d86d5076e2b0b51ddb67,aerocool lux 550w 80plus bronze,aerocool lux 550w 80plus bronze
9395bd47ac096b5eadfd9b8bd2c4f4d2ea63e824dcb6c7192ea28ad444a5368e,aerocool lux 650w 80plus bronze,aerocool lux 650w 80plus bronze
7989d8237ff7da84c165206cdada572083afef4a86ae134c2f586936e13fbad7,aerocool lux 650w 80plus bronze,aerocool lux 650w 80plus bronze
c97932cfc13f49596db174667dc2b56d1c4ff44cf97b26621ae0670fb2181e09,aerocool lux rgb 750w,aerocool lux 750w
9000eba05d82294cc646961c3ea1eb5ba27b0666dbe7bb8f98711c773ddfaf98,aerocool mirage 12 120mm,aerocool mirage 12 120mm
a9abb4d4eac60ce02765dfd8345f95e9cf825a009546205849e4cfe4f410304b,aerocool mirage l120,aerocool mirage l120
31f9df30224848fc9bf5a9ae9b9a8fbd0b2cacde16120d8bba7e8ac5a2b20a4d,aerocool mirage l120 argb,aerocool mirage l120
ca4553f659529c9c922884d1b2d2f48567abbead450e17869565723613b9fce2,aerocool mirage l360,aerocool mirage l360
812d7f498c8ddf26e4b6ff0962d0abce884d34786b6f08365d1ac9dfca64258b,aerocool prime,aerocool prime
0aa72d4f375f374db759048f478e59f04b55ca3d8ac6faf5c448c926193ae54b,aerocool prime,aerocool prime
78a68274e3d319d4ef13039ea2130bf32e6f7301ab0c873573ed838134f5bc92,aerocool scape argb black,aerocool scape
e66bf81603be70bc3835206b793c8945c9551ed542d90bbba37874ec8f96fad9,aerocool scape argb black,aerocool scape
5d3996d255e64b39a463dab3574a4a4b5e79998986109fa9ca98e398a1d3c0f1,aerocool tor,aerocool tor
4e3426f75eb83d0d92c527e82b49c7e9a8406d9d83014345f7252e9a76516f6b,aerocool tor,aerocool tor
b183b2249160ee3f5218bd6d217b0de02f3868afb9fce83f1ec471a3243a4737,aerocool vx plus 650w,aerocool vx plus 650w
65d6905031ce27b199eb6104fd5cd7c2ec1eabf6c19756b9072078c90e15a25c,aerocool vx plus 650w,aerocool vx plus 650w
4831b25f3d9cda21224296a31f2837b44e35ab996da4d4213e115118749932f7,airplus 5a fast charging 10gbps data cable 2m,airplus 5a fast charging 10gbps data cable 2m
826a475daae1f5686d3ea2a0786a02149fda4b75f6da91e846a98ee532d54e0e,airplus type-c hub 11 in 1,airplus type-c hub 11 in 1
76f5936aa5520ce78d67380b190ed63aba8411bf4578ed0de24349fd3dc13a73,airplus type-c hub 4 in 1,airplus type-c hub 4 in 1
ff7f2e8bc856a3b1e12ed6a7fcd2895645d0a198f6618ef1d7cbc2f8596a9b31,airplus type-c hub 4 in 1,airplus type-c hub 4 in 1
44b295496459a7d6a271f52244b64c808c991d57875c55d69cb4cd892a09196a,airplus type-c hub 8 in 1,airplus type-c hub 8 in 1
d564e64eba8994d06fe4dfff5172417156560848ef64405ec3cbe80b2e04fbba,airplus usb-c hub 6 in 1,airplus usb-c hub 6 in 1
bb21bd706e920705576cd1d271663d60dfcceb563ec6a6d7a6066d25a1d5cfd8,airplus usb 3.0 hub 4 in 1,airplus usb 3 0 hub 4 in 1
